,L,Beta,Sheet ID,Sheet Name,N,PhiMatrix0,PhiMatrix1,PhiMatrix2,PhiMatrix3,PhiMatrix4,PhiMatrix5,PhiMatrix6,PhiMatrix7,PhiMatrix8,PhiMatrix9,PhiMatrix10,PhiMatrix11,PhiMatrix12,PhiMatrix13,PhiMatrix14,PhiMatrix15,PhiMatrix16,PhiMatrix17,PhiMatrix18,PhiMatrix19,PhiMatrix20,PhiMatrix21,PhiMatrix22,PhiMatrix23,PhiMatrix24,PhiMatrix25,PhiMatrix26,PhiMatrix27,PhiMatrix28,PhiMatrix29,PhiMatrix30,PhiMatrix31,PhiMatrix32,PhiMatrix33,PhiMatrix34,PhiMatrix35,PhiMatrix36,PhiMatrix37,PhiMatrix38,PhiMatrix39,PhiMatrix40,PhiMatrix41,PhiMatrix42,PhiMatrix43,PhiMatrix44,PhiMatrix45,PhiMatrix46,PhiMatrix47,PhiMatrix48,PhiMatrix49,PhiMatrix50,PhiMatrix51,PhiMatrix52,PhiMatrix53,PhiMatrix54,PhiMatrix55,PhiMatrix56,PhiMatrix57,PhiMatrix58,PhiMatrix59,PhiMatrix60,PhiMatrix61,PhiMatrix62,PhiMatrix63
0,6,0.1,0,horizontal,1200,360000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1040000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1160000.0,0.0,40000.0,0.0,0.0,0.0,0.0,0.0,0.0,2280000.0,0.0,160000.0,240000.0,0.0,0.0,0.0,40000.0,0.0,1680000.0,0.0,0.0,0.0,0.0,0.0,0.0,160000.0,0.0,2600000.0,120000.0,0.0,0.0,0.0,0.0,240000.0,0.0,120000.0,2600000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10920000.0
1,6,0.1,1,vertical,1200,960000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1600000.0,0.0,80000.0,0.0,0.0,0.0,0.0,0.0,0.0,2840000.0,0.0,360000.0,120000.0,0.0,0.0,0.0,80000.0,0.0,920000.0,0.0,0.0,0.0,0.0,0.0,0.0,360000.0,0.0,4240000.0,120000.0,0.0,0.0,0.0,0.0,120000.0,0.0,120000.0,2680000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8480000.0
2,6,0.1,2,h and v,7200,3400000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7240000.0,240000.0,0.0,40000.0,0.0,0.0,0.0,0.0,240000.0,7320000.0,0.0,280000.0,0.0,0.0,0.0,0.0,0.0,0.0,17800000.0,0.0,1240000.0,680000.0,0.0,0.0,40000.0,280000.0,0.0,8040000.0,0.0,0.0,0.0,0.0,0.0,0.0,1240000.0,0.0,17640000.0,640000.0,0.0,0.0,0.0,0.0,680000.0,0.0,640000.0,16360000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53480000.0
3,6,0.1,3,random p=0.0,200,40000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320000.0,0.0,120000.0,0.0,0.0,0.0,0.0,0.0,0.0,120000.0,0.0,0.0,0.0,0.0,0.0,0.0,120000.0,0.0,440000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,560000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2280000.0
4,6,0.1,4,random p=0.1,200,120000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400000.0,0.0,40000.0,40000.0,0.0,0.0,0.0,0.0,0.0,160000.0,0.0,0.0,0.0,0.0,0.0,0.0,40000.0,0.0,800000.0,0.0,0.0,0.0,0.0,0.0,40000.0,0.0,0.0,280000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1840000.0
5,6,0.1,5,random p=0.2,200,120000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120000.0,0.0,0.0,40000.0,0.0,0.0,0.0,0.0,0.0,160000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,520000.0,0.0,120000.0,40000.0,0.0,0.0,40000.0,0.0,0.0,80000.0,0.0,0.0,0.0,0.0,0.0,0.0,120000.0,0.0,480000.0,0.0,0.0,0.0,0.0,0.0,40000.0,0.0,0.0,560000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1480000.0
6,6,0.1,6,random p=0.30000000000000004,200,120000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,360000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,280000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,280000.0,40000.0,0.0,0.0,0.0,0.0,0.0,0.0,40000.0,520000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1160000.0
7,6,0.1,7,random p=0.4,200,120000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,280000.0,0.0,40000.0,0.0,0.0,0.0,0.0,0.0,0.0,120000.0,0.0,0.0,0.0,0.0,0.0,0.0,40000.0,0.0,480000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5560000.0
8,6,0.1,8,random p=0.5,200,280000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200000.0,0.0,0.0,40000.0,0.0,0.0,0.0,0.0,0.0,200000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,840000.0,0.0,80000.0,0.0,0.0,0.0,40000.0,0.0,0.0,240000.0,0.0,0.0,0.0,0.0,0.0,0.0,80000.0,0.0,360000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,360000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1120000.0
9,6,0.1,9,random p=0.6000000000000001,200,160000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120000.0,40000.0,0.0,0.0,0.0,0.0,0.0,0.0,40000.0,240000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320000.0,0.0,40000.0,0.0,0.0,0.0,0.0,0.0,0.0,40000.0,0.0,0.0,0.0,0.0,0.0,0.0,40000.0,0.0,440000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,440000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2560000.0
10,6,0.1,10,random p=0.7000000000000001,200,160000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240000.0,40000.0,0.0,0.0,0.0,0.0,0.0,0.0,40000.0,240000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,480000.0,0.0,80000.0,0.0,0.0,0.0,0.0,0.0,0.0,280000.0,0.0,0.0,0.0,0.0,0.0,0.0,80000.0,0.0,360000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,280000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1880000.0
11,6,0.2,0,horizontal,1200,120000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,440000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2200000.0,0.0,160000.0,160000.0,0.0,0.0,0.0,0.0,0.0,440000.0,0.0,0.0,0.0,0.0,0.0,0.0,160000.0,0.0,2600000.0,40000.0,0.0,0.0,0.0,0.0,160000.0,0.0,40000.0,2440000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29280000.0
12,6,0.2,1,vertical,1200,200000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,560000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2240000.0,0.0,200000.0,40000.0,0.0,0.0,0.0,0.0,0.0,640000.0,0.0,0.0,0.0,0.0,0.0,0.0,200000.0,0.0,2440000.0,80000.0,0.0,0.0,0.0,0.0,40000.0,0.0,80000.0,2320000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25200000.0
13,6,0.2,2,h and v,7200,800000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2960000.0,200000.0,0.0,0.0,0.0,0.0,0.0,0.0,200000.0,2640000.0,0.0,40000.0,0.0,0.0,0.0,0.0,0.0,0.0,11840000.0,0.0,1640000.0,480000.0,0.0,0.0,0.0,40000.0,0.0,3480000.0,0.0,0.0,0.0,0.0,0.0,0.0,1640000.0,0.0,14720000.0,680000.0,0.0,0.0,0.0,0.0,480000.0,0.0,680000.0,12080000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,193560000.0
14,6,0.2,3,random p=0.0,200,40000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67440000.0
15,6,0.2,4,random p=0.1,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,560000.0,0.0,120000.0,0.0,0.0,0.0,0.0,0.0,0.0,80000.0,0.0,0.0,0.0,0.0,0.0,0.0,120000.0,0.0,560000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3320000.0
16,6,0.2,5,random p=0.2,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120000.0,0.0,80000.0,0.0,0.0,0.0,0.0,0.0,0.0,80000.0,0.0,0.0,0.0,0.0,0.0,0.0,80000.0,0.0,320000.0,40000.0,0.0,0.0,0.0,0.0,0.0,0.0,40000.0,360000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28800000.0
17,6,0.2,6,random p=0.30000000000000004,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,360000.0,0.0,0.0,40000.0,0.0,0.0,0.0,0.0,0.0,40000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200000.0,40000.0,0.0,0.0,0.0,0.0,40000.0,0.0,40000.0,160000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19240000.0
18,6,0.2,7,random p=0.4,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,280000.0,0.0,0.0,40000.0,0.0,0.0,0.0,0.0,0.0,40000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,520000.0,0.0,0.0,0.0,0.0,0.0,40000.0,0.0,0.0,400000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5960000.0
19,6,0.2,8,random p=0.5,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,440000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,280000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4600000.0
20,6,0.2,9,random p=0.6000000000000001,200,40000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,840000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,480000.0,40000.0,0.0,0.0,0.0,0.0,0.0,0.0,40000.0,320000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2040000.0
21,6,0.2,10,random p=0.7000000000000001,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,440000.0,0.0,40000.0,80000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40000.0,0.0,320000.0,0.0,0.0,0.0,0.0,0.0,80000.0,0.0,0.0,280000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6280000.0
22,6,0.3,0,horizontal,1200,200000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1560000.0,0.0,200000.0,40000.0,0.0,0.0,0.0,0.0,0.0,160000.0,0.0,0.0,0.0,0.0,0.0,0.0,200000.0,0.0,1280000.0,40000.0,0.0,0.0,0.0,0.0,40000.0,0.0,40000.0,1840000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47680000.0
23,6,0.3,1,vertical,1200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1360000.0,0.0,0.0,160000.0,0.0,0.0,0.0,0.0,0.0,280000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1800000.0,120000.0,0.0,0.0,0.0,0.0,160000.0,0.0,120000.0,2120000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119920000.0
24,6,0.3,2,h and v,7200,240000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1600000.0,160000.0,0.0,0.0,0.0,0.0,0.0,0.0,160000.0,1480000.0,0.0,40000.0,0.0,0.0,0.0,0.0,0.0,0.0,10960000.0,0.0,2520000.0,560000.0,0.0,0.0,0.0,40000.0,0.0,1720000.0,0.0,0.0,0.0,0.0,0.0,0.0,2520000.0,0.0,12280000.0,760000.0,0.0,0.0,0.0,0.0,560000.0,0.0,760000.0,8760000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,281360000.0
25,6,0.3,3,random p=0.0,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,207360000.0
26,6,0.3,4,random p=0.1,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,360000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39200000.0
27,6,0.3,5,random p=0.2,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,360000.0,0.0,0.0,40000.0,0.0,0.0,0.0,0.0,0.0,40000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240000.0,40000.0,0.0,0.0,0.0,0.0,40000.0,0.0,40000.0,360000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6320000.0
28,6,0.3,6,random p=0.30000000000000004,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160000.0,0.0,40000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40000.0,0.0,160000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11160000.0
29,6,0.3,7,random p=0.4,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200000.0,80000.0,0.0,0.0,0.0,0.0,0.0,0.0,80000.0,160000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72800000.0
